Accession,Species,Sequence_Type,Nuc_Completeness,Geo_Location,USA,Host,Collection_Date
MK651076,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2019-02
MK720944,Tylonycteris bat coronavirus HKU33,GenBank,complete,China,,Tylonycteris robustula,2015-09-09
MK720945,Rhinolophus bat coronavirus HKU32,GenBank,complete,Hong Kong,,Rhinolophus sinicus,2015-08-06
MK720946,Rhinolophus bat coronavirus HKU32,GenBank,complete,Hong Kong,,Rhinolophus sinicus,2015-08-06
MK796238,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-03
MK138353,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016
MK138516,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-03-09
MH748550,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-11-10
MK250953,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2018-02
KY406735,Alphacoronavirus 1,GenBank,complete,USA,,,2016-11-01
MH056657,Porcine epidemic diarrhea virus,GenBank,complete,,,,
MH056658,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014
MH061336,Porcine epidemic diarrhea virus,GenBank,complete,China:Sichuan,,Sus scrofa,2017-01-05
MH061337,Porcine epidemic diarrhea virus,GenBank,complete,"China:Sichuan, Zigong",,Sus scrofa,2017-01-05
MH061338,Porcine epidemic diarrhea virus,GenBank,complete,"China:Sichuan,Ziyang",,Sus scrofa,2017-09-09
MH061339,Porcine epidemic diarrhea virus,GenBank,complete,"China:Sichuan, Anzhou",,Sus scrofa,2017-11-27
MH061340,Porcine epidemic diarrhea virus,GenBank,complete,"China:Sichuan,Ziyang",,Sus scrofa,2017-12-01
MH061341,Porcine epidemic diarrhea virus,GenBank,complete,"China:Sichuan, Leshan",,Sus scrofa,2018-01-12
MH061342,Porcine epidemic diarrhea virus,GenBank,complete,"China:Sichuan,Zhongjiang",,Sus scrofa,2018-02-06
MH061343,Porcine epidemic diarrhea virus,GenBank,complete,"China:Sichuan,Mianyang",,Sus scrofa,2018-01-29
MH938448,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206645-41/2011,GenBank,complete,Italy,,Pipistrellus kuhlii,2011
MH938449,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,GenBank,complete,Italy,,Pipistrellus kuhlii,2015
MH938450,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206679-3/2010,GenBank,complete,Italy,,Pipistrellus kuhlii,2010
MG983755,Porcine epidemic diarrhea virus,GenBank,complete,,,,
MH687934,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-11
MH687935,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-17
MH687936,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-17
MH687937,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-17
MH687938,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-17
MH687939,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-17
MH687940,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-10
MH687941,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-17
MH687942,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-17
MH687943,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-10
MH687944,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-10
MH687945,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-09-16
MH687946,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-10
MH687947,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-17
MH687948,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-11
MH687949,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-10
MH687950,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-10
MH687951,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-11
MH687952,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-10
MH687953,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-06-11
MH687954,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-09-18
MH687955,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-09-17
MH687956,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-09-16
MH687957,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-09-18
MH687958,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-09-18
MH687959,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-11-12
MH687960,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-11-13
MH687961,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-11-13
MH687962,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2014-11-13
MH687963,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2015-02-06
MH687964,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2015-02-06
MH687965,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2015-02-13
MH687966,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2015-02-06
MH687967,Alphacoronavirus sp.,GenBank,complete,Viet Nam,,Scotophilus kuhlii,2015-02-06
MG546687,Porcine epidemic diarrhea virus,GenBank,complete,China: Beijing,,,2015-09
MG546690,Porcine epidemic diarrhea virus,GenBank,complete,China: Beijing,,,2016-11
KX900393,Alphacoronavirus 1,GenBank,complete,USA,,,2006-12-08
KX900394,Alphacoronavirus 1,GenBank,complete,USA,,,1988
KX900395,Alphacoronavirus 1,GenBank,complete,USA: Minnesota,MN,,2006-11-08
KX900396,Alphacoronavirus 1,GenBank,complete,USA: Illinois,IL,,2006-11-17
KX900397,Alphacoronavirus 1,GenBank,complete,USA: North Carolina,NC,,2007-02-08
KX900398,Alphacoronavirus 1,GenBank,complete,USA: Minnesota,MN,,2007-02-08
KX900399,Alphacoronavirus 1,GenBank,complete,USA: North Carolina,NC,,2007-02-16
KX900400,Alphacoronavirus 1,GenBank,complete,USA: Iowa,IA,,2008-03-06
KX900401,Alphacoronavirus 1,GenBank,complete,USA: Tennessee,TN,,2008-04-15
KX900402,Alphacoronavirus 1,GenBank,complete,Mexico,,,2008-04-17
KX900403,Alphacoronavirus 1,GenBank,complete,USA: Illinois,IL,,2008-04-09
KX900404,Alphacoronavirus 1,GenBank,complete,USA: Oklahoma,OK,,2012-11-29
KX900405,Alphacoronavirus 1,GenBank,complete,USA: Minnesota,MN,,2013-01-04
KX900406,Alphacoronavirus 1,GenBank,complete,USA: Illinois,IL,,2013-02-28
KX900407,Alphacoronavirus 1,GenBank,complete,USA: Minnesota,MN,,2013-03-01
KX900408,Alphacoronavirus 1,GenBank,complete,USA: Wisconsin,WI,,2014-01-17
KX900409,Alphacoronavirus 1,GenBank,complete,USA: Minnesota,MN,,2014-01-31
KX900410,Alphacoronavirus 1,GenBank,complete,USA: Minnesota,MN,,2014-02-04
KX900411,Alphacoronavirus 1,GenBank,complete,USA: South Dakota,SD,,2014-02-05
MH708243,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-09-01
MF807951,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-02-19
MF807952,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2017-02-17
MG742313,Rhinolophus bat coronavirus HKU2,GenBank,complete,China: Guangzhou,,,2017-03-14
MF113046,Alphacoronavirus Mink/China/1/2016,GenBank,complete,China,,Mustela lutreola,2016
MH004412,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2016-07-19
MH004413,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2016-12-06
MH004414,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2017-05-10
MH004415,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2014-07-19
MH004416,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2017-02-10
MH004417,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2017-02-10
MH004418,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2017-02-10
MH004419,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2017-02-20
MH004420,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2017-02-28
MH004421,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2015-11-05
MH006957,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2013-07-24
MH006958,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2013-09-30
MH006959,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2013-09-30
MH006960,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2014-11-08
MH006961,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2014-07-19
MH006962,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2015-03-20
MH006963,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2013-03-13
MH006964,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2014-07-19
MH006965,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2013-07-24
MH013462,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2015-09-13
MH013463,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2015-10-21
MH013464,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2015-10-21
MH013465,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2017-06-21
MH013466,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2017-06-21
MG334554,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2017-02-07
MG334555,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2017-02-07
MG781192,Porcine epidemic diarrhea virus,GenBank,complete,South Korea,,Sus scrofa,2014-10-23
MF373643,Porcine epidemic diarrhea virus,GenBank,complete,USA,,,2014
KY649107,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-05-01
KY566209,Alphacoronavirus 1,GenBank,complete,China,,Felis catus,2016-11
KY566210,Alphacoronavirus 1,GenBank,complete,China,,Felis catus,2016-11
KY566211,Alphacoronavirus 1,GenBank,complete,China,,Felis catus,2016-11
MF782686,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015
MF782687,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015
MF593473,Human coronavirus 229E,GenBank,complete,United Arab Emirates,,Camelus,2015
KX839247,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2015-09
KX834130,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2014
KX834131,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2014
MF462814,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2016-09-10
KX839246,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013-05
KX839248,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2015-09
KX839249,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2015-09
KX839250,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2015-09
KX839251,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2015-09
KY486713,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2015-09
KY486714,Porcine epidemic diarrhea virus,GenBank,complete,China,,,2015-09
MF577027,Porcine epidemic diarrhea virus,GenBank,complete,Russia,,,
LC215871,Ferret coronavirus,GenBank,complete,Japan,,Mustela putorius furo,2016-06-29
MF542265,Human coronavirus 229E,GenBank,complete,Haiti,,Homo sapiens,2016-03
KX512809,Ferret coronavirus,GenBank,complete,USA: Michigan,MI,Mustela putorius furo,2015
KX512810,Ferret coronavirus,GenBank,complete,USA: Michigan,MI,Mustela putorius furo,2015
KY420075,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-03-14
KT591944,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2013-12-31
KY799179,Bat coronavirus CDPHE15,GenBank,complete,Canada,,Myotis lucifugus,2010-11
MF167434,Rhinolophus bat coronavirus HKU2,GenBank,complete,China,,Sus scrofa,2017-03-06
KY292377,Alphacoronavirus 1,GenBank,complete,China,,Felis catus,2016-10
KY996417,Human coronavirus 229E,GenBank,complete,USA,,,2016-11-23
KY983586,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2015
KY983587,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2015
KX058031,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-12-05
KX058032,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-12-05
KX058033,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-12-05
KY929405,Porcine epidemic diarrhea virus,GenBank,complete,Taiwan,,Sus scrofa,2015-05-04
KY929406,Porcine epidemic diarrhea virus,GenBank,complete,Taiwan,,Sus scrofa,2016-01-02
KY793536,Porcine epidemic diarrhea virus,GenBank,complete,China: Guangxi,,Sus scrofa,2015-02-14
KX683006,Porcine epidemic diarrhea virus,GenBank,complete,,,,2013-06-01
KY499261,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,
KY499262,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,
KY621348,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2016
KY829118,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2015
KY967357,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2015
KY554967,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2016
KY554968,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2016
KY554969,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2016
KY554970,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2016
KY554971,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2016
KY674914,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2016
KY674915,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2016
KY674916,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2016
KY674919,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2008
KY684760,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2016
KY111278,Porcine epidemic diarrhea virus,GenBank,complete,"Italy: Abruzzi region, Basciano, Teramo province",,Sus scrofa,2016-01-28
KX550281,Porcine epidemic diarrhea virus,GenBank,complete,"China: Zhejiang, Hangzhou",,Sus scrofa,2015-01-16
KX499468,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2015-12-22
KX580953,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2013
KU975389,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-11
KX580958,Porcine epidemic diarrhea virus,GenBank,complete,USA,,,2016-07-07
KU893861,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2013-06-01
KU893869,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2015-06-01
KU893870,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2015-06-01
KU893871,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2015-06-01
KU893872,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2015-10-01
KU893873,Porcine epidemic diarrhea virus,GenBank,complete,USA,,Sus scrofa,2015-10-01
KY369908,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2016
KY369909,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2016
KY369910,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2016
KY369911,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2016
KY369912,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2016
KY369913,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2016
KY369914,Human coronavirus 229E,GenBank,complete,USA,,Homo sapiens,2016
KR153325,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-01-01
KR153326,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-01-04
KY073744,NL63-related bat coronavirus strain BtKYNL63-9b,GenBank,complete,Kenya,,Triaenops afer,2010-06-21
KY073745,NL63-related bat coronavirus strain BtKYNL63-9b,GenBank,complete,Kenya,,Triaenops afer,2010-06-21
KY073746,NL63-related bat coronavirus strain BtKYNL63-9b,GenBank,complete,Kenya,,Triaenops afer,2008-08-06
KY073747,Human coronavirus 229E,GenBank,complete,Kenya,,Hipposideros,2009-06-20
KY073748,Human coronavirus 229E,GenBank,complete,Kenya,,Macronycteris vittata,2010-06
KX179494,Human coronavirus NL63,GenBank,complete,Haiti,,Homo sapiens,2015-01-21
KX179495,Human coronavirus NL63,GenBank,complete,Haiti,,Homo sapiens,2015-01-22
KX179496,Human coronavirus NL63,GenBank,complete,Haiti,,Homo sapiens,2015-01-27
KX179497,Human coronavirus NL63,GenBank,complete,Haiti,,Homo sapiens,2015-01-21
KX179498,Human coronavirus NL63,GenBank,complete,Haiti,,Homo sapiens,2015-01-22
KX179499,Human coronavirus NL63,GenBank,complete,Haiti,,Homo sapiens,2015-01-27
KX179500,Human coronavirus NL63,GenBank,complete,USA,,Homo sapiens,2015-09
KX066126,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2011-11
KU847996,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2015-07-26
LC119077,Ferret coronavirus,GenBank,complete,Japan,,Mustela putorius furo,2013-05-22
KM975738,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013-05-16
KM975739,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013-05-29
KM975740,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2013-12-31
KM975741,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2014-01-20
KU982966,Porcine epidemic diarrhea virus,GenBank,complete,USA: Texas,TX,Sus scrofa,2015-10-22
KU982967,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2015-10-21
KU982968,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2015-11-06
KU982969,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2015-10-21
KU982970,Porcine epidemic diarrhea virus,GenBank,complete,USA: North Dakota,ND,Sus scrofa,2015-11-06
KU982971,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2015-01-09
KU982972,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2015-10-22
KU982973,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2015-11-12
KU982974,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2015-10-06
KU982975,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2015-10-26
KU982976,Porcine epidemic diarrhea virus,GenBank,complete,USA: Texas,TX,Sus scrofa,2015-10-22
KU982977,Porcine epidemic diarrhea virus,GenBank,complete,USA: Texas,TX,Sus scrofa,2015-11-05
KU982978,Porcine epidemic diarrhea virus,GenBank,complete,USA: Nebraska,NE,Sus scrofa,2015-12-04
KU982979,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2015-11-04
KU982980,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2015-10-20
KU982981,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2015-10-19
KU252649,Porcine epidemic diarrhea virus,GenBank,complete,China,,Sus scrofa,2014-05-08
KU237213,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Changge",,Sus scrofa,2014
KU237214,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Dengfeng",,Sus scrofa,2014-08-01
KU237217,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Dengfeng",,Sus scrofa,2015-02-01
KU237218,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Dengfeng",,Sus scrofa,2015-03-01
KU237219,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Dengfeng",,Sus scrofa,2015-02-01
KU237220,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Kaifeng",,Sus scrofa,2015-02-01
KU237221,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Luyi",,Sus scrofa,2015-03-01
KU237222,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Mengzhou",,Sus scrofa,2014-10-01
KU237223,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Neihuang",,Sus scrofa,2015-03-01
KU237224,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Pingdingshan",,Sus scrofa,2015-04-01
KU237225,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Qixian",,Sus scrofa,2014-09-01
KU237226,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Qixian",,Sus scrofa,2014-09-01
KU237227,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Qixian",,Sus scrofa,2014-09-01
KU237228,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Shangshui",,Sus scrofa,2015-04-01
KU237229,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Wuzhi",,Sus scrofa,2014-12-01
KU237230,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Wuzhi",,Sus scrofa,2014-12-01
KU237231,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Xunxian",,Sus scrofa,2015-04-01
KU237232,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Yuanyang",,Sus scrofa,2015-04-01
KU237233,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Yuzhou",,Sus scrofa,2015-05-01
KU237234,Porcine epidemic diarrhea virus,GenBank,complete,"China: Henan, Yuzhou",,Sus scrofa,2015-05-01
KU729220,Alphacoronavirus 1,GenBank,complete,"China: pig farm, suburb of Haerbin, Heilongjiang province",,Sus scrofa,1998-02-10
KT860508,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2013-12-31
KU569509,Porcine epidemic diarrhea virus,GenBank,complete,Colombia: Cundinamarca,,Sus scrofa,2014-05-02
KT696544,Alphacoronavirus 1,GenBank,complete,China,,Sus scrofa,2012
KM975735,Porcine epidemic diarrhea virus,GenBank,complete,USA: North Carolina,NC,Sus scrofa,2013-09-12
KM975736,Porcine epidemic diarrhea virus,GenBank,complete,USA: Iowa,IA,Sus scrofa,2013-12-09
KM975737,Porcine epidemic diarrhea virus,GenBank,complete,USA: North Carolina,NC,Sus scrofa,2013-12-10
KP641661,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-04-22
KP641662,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-10-14
KP641663,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-10-19
KP403954,Porcine epidemic diarrhea virus,GenBank,complete,Ukraine,,Sus scrofa,2014-11-22
KR265759,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-01-14
KR265760,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-02-12
KR265761,Porcine epidemic diarrhea virus,GenBank,complete,USA: Hawaii,HI,Sus scrofa,2014-11-13
KR265762,Porcine epidemic diarrhea virus,GenBank,complete,USA: Oklahoma,OK,Sus scrofa,2014-12-12
KR265763,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-01-03
KR265764,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-02-18
KR265765,Porcine epidemic diarrhea virus,GenBank,complete,USA: Nebraska,NE,Sus scrofa,2014-04-02
KR265766,Porcine epidemic diarrhea virus,GenBank,complete,Mexico,,Sus scrofa,2014-04-24
KR265767,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2014-10-31
KR265768,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-02-11
KR265769,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-03-04
KR265770,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-03-11
KR265771,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-08-18
KR265772,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kentucky,KY,Sus scrofa,2014-01-07
KR265773,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-03-27
KR265774,Porcine epidemic diarrhea virus,GenBank,complete,USA: South Dakota,SD,Sus scrofa,2014-05-16
KR265775,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-01-09
KR265776,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-02-03
KR265777,Porcine epidemic diarrhea virus,GenBank,complete,USA: Kansas,KS,Sus scrofa,2014-03-13
KR265778,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-03-14
KR265779,Porcine epidemic diarrhea virus,GenBank,complete,USA: Missouri,MO,Sus scrofa,2014-01-14
KR265780,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-01-17
KR265781,Porcine epidemic diarrhea virus,GenBank,complete,USA: Ohio,OH,Sus scrofa,2014-02-25
KR265782,Porcine epidemic diarrhea virus,GenBank,complete,USA: Illinois,IL,Sus scrofa,2014-04-16
KR265783,Porcine epidemic diarrhea virus,GenBank,complete,USA: Minnesota,MN,Sus scrofa,2014-02-14
KR265784,Porcine epidemic diarrhea virus,GenBank,complete,USA: Nebraska,NE,Sus scrofa,2014-02-25
